Question,Options
一种新疗法只能延缓死亡，但不能治愈疾病，以下哪种情况将会发生,"A 该病患病率减少
B 该病患病率增加
C 该病发病率增加
D 该病发病率减少
E 该病的发病率和患病率均减少"
对急性重型肝炎抢救效果进行评价时，恰当的指标应是,"A 死亡率
B 发病率
C 患病率
D 病死率
E 罹患率"
在慢性病病因研究中，优先使用的频率指标是,"A 死亡率
B 发病率
C 患病率
D DALY
E YLD"
弗兰明汉姆城市最近的健康检查中患有心脏疾病的女性的数量/同期弗兰明汉姆城市居住的女性的数量,"A 发病率
B 患病率
C 死亡率
D 病死率
E 罹患率"
某年某社区开展为期一年的糖尿病普查，该社区年初人口数9500人，年末人口数10500人。年初有糖尿病患者100人，年末有糖尿病患者130人，普查期间有10名患者死于糖尿病并发症。该社区普查当年的糖尿病患病率为,"A 130/10500
B 130/10000
C 140/10000
D 140/10500
E 40/10000"
满足患病率＝发病率×病程的条件是,"A 在相当长的时间内，发病率相当稳定
B 在相当长的时间内，病程相当稳定
C 在相当长的时间内，患病率相当稳定
D 在相当长的时间内，当地人口相当稳定
E 在相当长的时间内，发病率和病程都相当稳定"
在比较不同地区发病率或死亡率时应注意使用,"A 年龄别发病率、年龄别死亡率
B 性别发病率、性别死亡率
C 民族别发病率民族别死亡率
D 标化发病率、标化死亡率"
某单位调查了1000人的HBsAg的携带情况，其中45人阳性。该调查最合适的流行病学描述指标是,"A 死亡率
B 发病率
C 患病率
D 感染率
E 罹患率"
下列哪项因素与患病率的变化无关,"A 发病率的升高
B 病死率的下降
C 人口总数自然增加或减少
D 治疗水平的提高"
某年某社区开展为期一年的糖尿病普查，该社区年初人口数9500人，年末人口数10500人。年初有糖尿病患者100人，年末有糖尿病患者130人，普查期间有10名患者死于糖尿病并发症。该社区普查当年的糖尿病病死率,"A 10/10500
B 10/10000
C 10/140
D 10/130
E 10/40"
在反映人群中慢性病流行水平和疾病负担的全球和国家报告中，最不常见的频率指标是,"A 死亡率
B 发病率
C 患病率
D DALY
E YLD"
某高校在某年秋季发生甲肝流行，描述这次暴发严重性的常用最佳指标是,"A 罹患率
B 发病率
C 患病率
D 死亡率
E 病死率"
衡量疾病严重程度的指标是,"A 患病率
B 感染率
C 引入率
D 病死率
E 续发率"
某医师调查了1000人的HBSAg，100人阳性，该调查合适的描述指数为,"A 发病率
B 患病率
C 罹患率
D 感染率
E 生存率"
表示某市急性传染病的流行强度，宜用的指标是,"A 发病率
B 死亡率
C 患病率
D 罹患率
E 病死率"
对于一种严重的致死性疾病，在评价某种新的疗法的效果时，最恰当的指标是,"A 发病率
B 患病率
C 病死率
D 死亡率
E 罹患率"
1996年共发生200例某病病人，在1996年年初已知有800例病人，年内因该病死亡40例，年中人口数1000万，如果该病的发生和因该病死亡的事件均匀分布在全年中，则：1996年该病的发病率（1/10万）是,"A 0.4
B 8
C 10
D 1.6
E 2"
属于地区分布的是,"A 石棉工人中间皮瘤、肺癌及胃肠癌的发生率高于其他职业人群
B 水痘、流行性脑脊髓膜炎和流行性感冒等常在大城市发生流行
C 因诊断水平的提高使患病率升高
D 流行性乙型脑炎和脊髓灰质炎多为隐性感染
E 2015年上海市甲型H1N1流感流行在冬春季节"
描述局部地区或集体单位中，短时间内突然发生很多症状相同的患者的最适合用语可为,"A 暴发
B 散发
C 流行
D 大流行
E 暴发性流行"
某地区有10万人口，1960年总死亡人数1000名，已发现的结核病患者有300名，男性200名，女性有100名，1960年有60名死于结核病，其中50名为男性，结核病的病死率,"A 0.06
B 0.2
C 0.02
D 男女相等
E 所给资料不能计算"
下列因素中，不是造成疾病季节性流行的因素是,"A 接触机会增加
B 病原体繁殖高峰
C 传播途径易于实现
D 宿主动物繁殖高峰
E 虫媒繁殖高峰"
在某特定时间内总人口中某病新旧病例数所占的比例,"A 发病率
B 死亡率
C 罹患率
D 病死率
E 患病率"
综合描述疾病的“三间分布”，最经典的流行病学方法是,"A 出生队列研究
B 横断面研究
C 移民流行病学研究
D 血清流行病学
E 遗传流行病学"
分析同一时期不同年龄组某疾病死亡率的变化时，适合采用,"A 出生队列分析
B 交叉分析
C 横断面分析
D 年龄死亡相关分析
E 抽样调查"
发病率通常不用来表示,"A 病程短的急性病的调查
B 各种疾病的暴发调查
C 各种疾病流行时的调查
D 病程较长的慢性病的调查
E 突发卫生事件时的疾病调查"
婴儿死亡率的定义是,"A （某年出生婴儿死亡率/同年平均人口数）×1000‰
B （某年婴儿死亡数/同年平均人口数）×1000‰
C （某年婴儿死亡数/同年出生总数）×1000‰
D （某年婴儿死亡数/同年活产数）×1000‰
E 以上都不是"
有人曾对日本的胃癌进行过移民流行病学调查研究，发现胃癌在日本高发，在美国低发。在美国出生的二代日本移民胃癌的死亡率高于美国人，但低于日本国内的日本人，说明,"A 环境因素对胃癌的发生有较大关系
B 遗传因素对胃癌的发生有较大关系
C 遗传和环境交互作用
D 很难判断
E 以上均不正确"
假设某疾病只有一个充分病因，而且该充分病因只有两个组分病因A和B，当同时暴露于A和B时，疾病就会发生。再假设某人群中暴露于A的人数占10%，暴露于B的人数占2%，且A和B在该人群中的分布是独立的（即彼此在人群中出现的比例互不影响）。据此，以下论述错误的是,"A 暴露于A的人群的发病率为2%，因为它取决于A的互补组分病因B的暴露率；同理，暴露于B的人群的发病率为10%
B 同时暴露于A和B的人的发病率为100%，因为同时暴露于A和B时，疾病就会发生
C 暴露于B但未暴露于A的人群的发病率为0%，因为没有A疾病不会发生；反之亦然
D 在暴露于某一个组分病因的人群中，发病率的高低与该暴露的互补组分病因有关，互补组分病因越常见，发病率则越高
E 暴露于B的暴露组与非暴露于B的对照组发病率之差为10%-2%＝8%"
发病率指标来自,"A 对住院病人的调查
B 对门诊病人的调查
C 对社区人群的调查
D 对所有病人的调查
E 对专科医院病人的调查"
计算患病率的分子是,"A 观察期间某病的新发病例数
B 观察期间某病的新旧病例数
C 观察期间之前某病的患病人数
D 观察期间某病的暴露人口数
E 以上均不是"
用以衡量疾病对人生命威胁的严重程度,"A 引入率
B 续发率
C 死亡率
D 病死率
E 发病率"
某校在1998年8月底突然发生大批腹泻病人，不少人需住院治疗，临床诊断为细菌性痢疾。立即进行流行病学调查，查了3894人，共查出病例703人。最好用下更哪种指标,"A 发病患为18.1%
B 现患率为18.1%
C 罹患率为18.1%
D 续发率为18.1%"
属于人群分布的是,"A 石棉工人中间皮瘤、肺癌及胃肠癌的发生率高于其他职业人群
B 水痘、流行性脑脊髓膜炎和流行性感冒等常在大城市发生流行
C 因诊断水平的提高使患病率升高
D 流行性乙型脑炎和脊髓灰质炎多为隐性感染
E 2015年上海市甲型H1N1流感流行在冬春季节"
引起患病率升高的情况不包括,"A 新病例增加（即发病率增高）
B 治疗水平提高，患者免于死亡，但未痊愈，病程延长
C 未治愈者的寿命延长
D 诊断水平提高
E 病死率增高"
关于横断面分析哪一项是不正确的,"A 说明同一时期不同年龄死亡率的变化
B 说明不同年代各年龄组死亡率的变化
C 说明不同年代出生者各年龄组的死亡趋势
D 不能说明不同年代出生者各年龄组的死亡趋势
E 不能正确显示致病因子与年龄的关系"
某地区有10万人口，1960年总死亡人数1000名，已发现的结核病患者有300名，男性200名，女性有100名，1960年有60名死于结核病，其中50名为男性，男性结核病死亡率为,"A 0.2
B 0.25
C 0.3
D 0.5
E 所给资料不能计算"
属于季节性升高的是,"A 2017年6月台湾省某市某小学和中学共169名学生发生食物中毒
B 我国北方地区流行性乙型脑炎发病高峰在夏秋季
C 1965年前我国大中城市人群中麻疹每隔-年流行一次
D 近年来，猩红热的发病率与死亡率均有明显下降
E 细菌性痢疾多见于夏秋季"
计算暴发性肝炎，反映某单位的医疗水平常用的指标,"A 罹患率
B 患病率
C 发病率
D 病死率
E 感染率"
表示疾病流行强度的术语包括,"A 季节性、周期性、流行、大流行
B 流行、暴发、季节性、散发
C 散发、暴发、流行、大流行
D 季节性、流行、暴发、长期变动
E 暴发、流行、大流行、长期变动"
调查人群流脑血凝抗体水平所选的对象为,"A 自然人群（包括以往有过该传染病史或有过预防接种史者）
B 健康人群（除去有预防接种史与传染病史者）
C 易感人群
D 传染病的接触人群
E 特殊人群"
拟调查某地人群高血压的现患率，可采用何种研究方法,"A 病例对照研究
B 队列研究
C 实验研究
D 现况研究
E 理论研究"
非洲地区，伤寒发病率维持在10/10万左右，今年伤寒患者在某城发生20例，该城市30万人，这种情况属于,"A 散发
B 暴发
C 隐性流行
D 流行
E 大流行"
一种新治疗方法可以延长寿命，但不能治愈该病则会出现,"A 该病患病率将降低
B 该病发病率将升高
C 该病发病率将降低
D 该病患病率将升高
E 该病发病率和患病率均会降低"
2002年11月至2003年6月初，我国发生了严重急性呼吸综合征（SARS）流行，SARS病死率是根据以下哪些数据计算出的,"A 全部患病者中死亡病例数占总人口的比例
B 患该病的死亡者占同期暴露人口数
C 全部确诊患者和疑似患者中因该病死亡者的比例
D 全部确诊患者中因该病死亡者的比例
E 该病的全部死亡病例占该期的平均人口数的比例"
食物中毒暴发调查时，应选用的指标是,"A 患病率
B 发病密度
C 罹患率
D 感染率
E 续发率"
某地开展痛风普查，10万人中发现痛风患者400例，据此可计算的频率指标是,"A 罹患率为400/10万
B 发病率为400/10万
C 患病率为400/10万
D 累计发病率为400/10万
E 发病密度为400/10万"
